filename,source_project,source_title,source_url,author,license,license_url,notes
mandarin_ipa_apical_retroflex_vowel.mp3,Pinyin syllable demo,zispace/hanyu-pinyin-audio pinyin syllable zhi1.mp3 for [ʅ],https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,zispace/hanyu-pinyin-audio source archive contributors,See upstream source archive,https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,"Auxiliary audio from github-hugolpz-audio.zip. This is a full Mandarin syllable demo, not isolated IPA-symbol audio."
mandarin_ipa_e_lowered.mp3,Wikimedia Commons IPA chart audio,File:Mid front unrounded vowel.ogg for [e̞],https://commons.wikimedia.org/wiki/File:Mid_front_unrounded_vowel.ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Mid_front_unrounded_vowel.ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio.
mandarin_ipa_ei.mp3,Pinyin syllable demo,zispace/hanyu-pinyin-audio pinyin syllable ei1.mp3 for [ei̯],https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,zispace/hanyu-pinyin-audio source archive contributors,See upstream source archive,https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,"Auxiliary audio from github-hugolpz-audio.zip. This is a full Mandarin syllable demo, not isolated IPA-symbol audio."
mandarin_ipa_eng.mp3,Wikimedia Commons IPA chart audio,File:Velar nasal.ogg for [ŋ],https://commons.wikimedia.org/wiki/File:Velar_nasal.ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Velar_nasal.ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio.
mandarin_ipa_eng_voiceless.mp3,Wikimedia Commons IPA chart audio,File:Voiceless velar nasal.wav for [ŋ̊],https://commons.wikimedia.org/wiki/File:Voiceless_velar_nasal.wav,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Voiceless_velar_nasal.wav,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio.
mandarin_ipa_epsilon.mp3,Wikimedia Commons IPA chart audio,File:Open-mid front unrounded vowel.ogg for [ɛ],https://commons.wikimedia.org/wiki/File:Open-mid_front_unrounded_vowel.ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Open-mid_front_unrounded_vowel.ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio.
mandarin_ipa_er.mp3,Pinyin syllable demo,zispace/hanyu-pinyin-audio pinyin syllable er2.mp3 for [ɚ],https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,zispace/hanyu-pinyin-audio source archive contributors,See upstream source archive,https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,"Auxiliary audio from github-hugolpz-audio.zip. This is a full Mandarin syllable demo, not isolated IPA-symbol audio."
mandarin_ipa_er_nasalized.mp3,Pinyin syllable demo,zispace/hanyu-pinyin-audio pinyin syllable er2.mp3 for [ɚ̃],https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,zispace/hanyu-pinyin-audio source archive contributors,See upstream source archive,https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,"Auxiliary audio from github-hugolpz-audio.zip. This is a full Mandarin syllable demo, not isolated IPA-symbol audio. nearest er syllable demo; not nasalized"
mandarin_ipa_f.mp3,Wikimedia Commons IPA chart audio,File:Voiceless labio-dental fricative.ogg for [f],https://commons.wikimedia.org/wiki/File:Voiceless_labio-dental_fricative.ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Voiceless_labio-dental_fricative.ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_consonant_chart_with_audio.
mandarin_ipa_gamma.mp3,Wikimedia Commons IPA chart audio,File:Close-mid back unrounded vowel.ogg for [ɤ],https://commons.wikimedia.org/wiki/File:Close-mid_back_unrounded_vowel.ogg,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:Close-mid_back_unrounded_vowel.ogg,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio.
mandarin_ipa_gamma_lowered.mp3,Wikimedia Commons IPA chart audio,File:ɤ̞ IPA sound.opus for [ɤ̞],https://commons.wikimedia.org/wiki/File:ɤ̞_IPA_sound.opus,Wikimedia Commons contributors; see source file page,See source file page,https://commons.wikimedia.org/wiki/File:ɤ̞_IPA_sound.opus,Direct IPA chart audio from https://en.wikipedia.org/wiki/IPA_vowel_chart_with_audio.
mandarin_ipa_gamma_rhotic.mp3,Pinyin syllable demo,zispace/hanyu-pinyin-audio pinyin syllable er2.mp3 for [ɤ˞],https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,zispace/hanyu-pinyin-audio source archive contributors,See upstream source archive,https://github.com/zispace/hanyu-pinyin-audio/releases/tag/v0.1,"Auxiliary audio from github-hugolpz-audio.zip. This is a full Mandarin syllable demo, not isolated IPA-symbol audio. nearest rhotic syllable demo"
